	Gene_ID	H_0	H_4	H_8	H_12	H0PA	H4PA	H8PA	H12PA	U_0	U_4	U_8	U_12	U0PA	U4PA	U8PA	U12PA	M_0	M_4	M_8	M_12	M0PA	M4PA	M8PA	M12PA	H4/H0_P_Value	H8/H0_pvalue	H12/H0_pvalue	U4/U0_pvalue	U8/U0_pvalue	U12/U0_pvalue	M4/M0_pvalue	M8/M0_pvalue	M12/M0_pvalue
OGFOD2	NM_024623	3.8732579	3.750984925	3.795910914	3.909871641	P	P	P	P	5.297445318	5.280311137	5.269365009	5.342983405	P	P	P	P	4.395103563	4.401334945	4.393777302	4.405488103	P	P	P	P	0.1748	0.4744	0.8982	0.9996	0.8104	0.3044	1.0000	1.0000	1.0000
OGFR	NM_007346	6.760627075	6.611293945	6.39790836	6.34647495	P	P	P	P	5.325996407	5.240824425	5.203052526	5.348901149	P	P	P	P	6.886964109	6.895918943	6.922489155	6.86719361	P	P	P	P	0.2778	0.0032	0.0010	0.8532	0.4447	0.8209	1.0000	0.7559	1.0000
OGFRL1	NM_024576	2.846378185	2.871635566	2.849536205	2.837687997	A	A	A	A	7.016975979	7.034367978	6.987995812	6.835746957	P	P	P	P	10.33293312	10.29692897	10.33189041	10.3692269	P	P	P	P	0.7978	0.9999	1.0000	0.9996	0.8863	0.0924	1.0000	1.0000	1.0000
OGG1	NM_002542	7.188752545	7.25879406	7.158248385	7.102040431	P	P	P	P	6.562234365	6.76841813	6.536451695	6.437457432	P	P	P	P	7.432049105	7.53737498	7.67912264	7.572576154	P	P	P	P	0.9370	0.9999	0.9944	0.5987	0.9370	0.4714	1.0000	0.2460	0.5975
OGN	NM_014057	2.478863161	2.486356158	2.47668912	2.467061374	A	A	A	A	2.410605521	2.417987397	2.39746487	2.444122024	A	A	A	A	2.397762081	2.405403979	2.398244184	2.401861215	A	A	A	A	0.9255	0.9999	0.8791	0.9996	0.8524	0.2145	1.0000	1.0000	1.0000
OGT	NM_181672	6.973547619	7.109007406	7.465555669	7.706809233	P	P	P	P	6.343753255	6.547641739	6.382159016	6.504620838	P	P	P	P	9.342506503	9.442138637	9.663004834	9.789466306	P	P	P	P	0.5552	0.0024	0.0001	0.2275	0.8796	0.1769	1.0000	0.1535	0.0318
OIP5	NM_007280	8.544247262	7.966925082	7.209382062	7.377718244	P	P	P	P	7.258720459	7.279756398	7.37720045	7.021759421	P	P	P	P	8.529419412	8.638193229	8.54456061	8.339584554	P	P	P	P	0.0252	0.0000	0.0001	0.9996	0.4264	0.0443	1.0000	1.0000	0.3621
OIT3	NM_152635	2.650075108	2.64237301	2.626897902	2.613904925	A	A	A	A	2.634602763	2.653290435	2.632014391	2.676519923	A	A	A	A	2.663423403	2.668461929	2.668073288	2.681016914	A	A	A	A	0.9382	0.6837	0.3066	0.9573	0.9595	0.1723	1.0000	1.0000	1.0000
OLA1	NM_013341	3.029960675	3.022410112	3.024512122	3.056743086	P	A	P	P	6.656309899	6.560271771	6.52813487	6.520548331	P	P	P	P	6.042714957	6.044617792	6.028486219	6.013349482	P	P	P	P	0.9616	0.9999	0.7334	0.4541	0.1498	0.0872	1.0000	1.0000	0.8752
OLAH	NM_018324	2.398949953	2.405846337	2.404446544	2.396355926	A	A	A	A	2.382258378	2.385773534	2.37738507	2.394439925	P	P	A	P	2.355071443	2.359182625	2.353738941	2.357724313	A	P	A	P	0.9138	0.9999	1.0000	0.9996	0.8863	0.4304	1.0000	1.0000	1.0000
OLFM1	NM_006334	2.256700818	2.261133789	2.257777138	2.251913075	A	A	A	A	2.221644779	2.221749867	2.210531483	2.237391667	A	A	A	A	2.183308399	2.187949077	2.182129991	2.183634145	A	A	A	A	0.9382	0.9999	1.0000	0.9997	0.8300	0.3775	1.0000	1.0000	1.0000
OLFM2	NM_058164	2.25545091	2.241372051	2.24268288	2.236143394	A	A	A	A	1.945243767	1.951585049	1.943805549	1.968731843	A	A	A	A	2.279303571	2.287201317	2.280914959	2.293124625	A	A	A	A	0.9866	0.9999	1.0000	0.9996	0.9614	0.1930	1.0000	1.0000	0.9512
OLFM3	NM_058170	2.735712945	2.736660662	2.717672806	2.687068164	A	A	A	A	2.717342463	2.738646787	2.704108612	2.787055162	A	A	A	A	2.758480113	2.758243619	2.762712581	2.764000737	A	A	A	A	0.9996	0.9999	0.2967	0.9996	0.8822	0.1121	1.0000	1.0000	1.0000
OLFM4	NM_006418	2.916692611	2.931985983	2.921296476	2.882453001	A	A	A	A	2.92487619	2.951179844	2.903220183	3.022932216	A	A	A	A	2.981515649	3.003142928	2.991276403	3.048598068	A	A	A	A	0.9261	0.9999	0.7211	0.9996	0.8656	0.0692	1.0000	1.0000	0.7743
OLFML1	NM_198474	1.882777798	1.892109037	1.883224216	1.883581951	A	P	A	A	1.80176496	1.803351898	1.795275209	1.816258285	P	A	P	A	1.776987779	1.780629382	1.776914942	1.779797828	A	A	A	A	0.8143	0.9999	1.0000	0.9996	0.8745	0.3760	1.0000	1.0000	1.0000
OLFML2A	NM_182487	1.834250521	1.840648609	1.833524322	1.835784013	A	A	A	A	2.747510502	3.160956787	4.073168613	4.614746561	A	A	P	P	9.84615155	10.02816347	10.35964517	10.47079852	P	P	P	P	0.9123	0.9999	1.0000	0.4067	0.0019	0.0001	0.7979	0.0359	0.0099
OLFML2B	NM_015441	2.603569822	2.618117376	2.597607914	2.597950218	A	A	A	A	4.727414616	4.189107618	3.774661839	2.955374915	P	P	P	P	2.200368842	2.215534676	2.212552424	2.221933491	A	A	A	A	0.8000	0.9999	1.0000	0.1236	0.0043	0.0001	1.0000	1.0000	0.9419
OLFML3	NM_020190	2.102400665	2.092182481	2.100561957	2.100698174	A	A	A	A	7.364524188	7.218522493	7.198187886	7.086387127	P	P	P	P	1.988152926	1.989760564	1.982883083	1.985778856	A	A	A	A	0.9826	0.9999	1.0000	0.5798	0.3382	0.0547	1.0000	1.0000	1.0000
OLIG1	NM_138983	2.394836153	2.403138224	2.398534113	2.386571184	A	A	A	A	2.366376717	2.377915524	2.356542536	2.402510316	P	A	A	P	2.421950898	2.428481012	2.423265641	2.424027432	A	A	P	A	0.9208	0.9999	0.9624	0.9996	0.8656	0.1253	1.0000	1.0000	1.0000
OLIG2	NM_005806	2.153442369	2.1574621	2.154584924	2.152438237	A	A	A	A	2.438090582	2.438255188	2.430499054	2.449003942	P	A	A	A	2.350601704	2.353675416	2.34235336	2.350604618	A	A	A	A	0.9291	0.9999	1.0000	0.9997	0.8660	0.4904	1.0000	1.0000	1.0000
OLIG3	NM_175747	2.48001354	2.491834547	2.486774451	2.46729089	A	A	A	A	2.46154567	2.471537537	2.449090777	2.50141536	A	A	A	A	2.471765425	2.48433361	2.48101271	2.483163531	A	A	A	A	0.8903	0.9999	0.8335	0.9996	0.8656	0.1774	1.0000	1.0000	1.0000
OLR1	NM_002543	2.594338991	2.611490597	2.590756583	2.577503348	A	A	P	P	2.591119885	2.600930791	2.57370112	2.6308434	P	A	A	A	2.817108379	2.81653654	2.816096501	2.817483819	P	A	A	P	0.8103	0.9999	0.7664	0.9996	0.8483	0.2355	1.0000	1.0000	1.0000
OMA1	NM_145243	4.965006603	5.369096746	4.929008289	5.113120643	P	P	P	P	6.204162701	6.152234961	6.530110481	6.039353867	P	P	P	P	7.072298501	7.470442231	7.251332305	7.028715898	P	P	P	P	0.2127	0.9999	0.8422	0.9996	0.2150	0.4043	0.2305	0.7437	1.0000
OMD	NM_005014	2.455941869	2.460618001	2.461290008	2.443809662	A	A	A	A	2.435485957	2.442828326	2.4253252	2.470414968	A	A	A	A	2.490891455	2.497273359	2.492076834	2.495521288	A	A	A	A	0.9607	0.9999	0.8828	0.9996	0.8743	0.2069	1.0000	1.0000	1.0000
OMG	NM_002544	2.693098391	2.712403811	2.694023794	2.69000887	A	A	A	A	2.61177979	2.6227657	2.60791817	2.62899077	A	A	A	A	2.733169425	2.7539183	2.752239594	2.741104501	A	A	A	A	0.6481	0.9999	1.0000	0.9996	0.9175	0.3930	1.0000	1.0000	1.0000
OMP	NM_006189	1.913839465	1.915891581	1.914881216	1.914632473	A	A	A	A	1.834994204	1.838187046	1.832100083	1.844077563	A	A	A	A	1.755671789	1.757447406	1.755608052	1.755081315	A	A	A	A	0.9742	0.9999	1.0000	0.9996	0.9133	0.5144	1.0000	1.0000	1.0000
ONECUT1	NM_004498	3.231835381	4.108567581	2.708899617	2.634503447	P	P	A	A	2.272920067	2.275759939	2.265564602	2.297481432	A	A	A	A	2.2410297	2.249235566	2.241958545	2.245000487	A	A	A	A	0.0046	0.0659	0.0315	0.9996	0.8716	0.1882	1.0000	1.0000	1.0000
ONECUT2	NM_004852	5.648422526	6.020990094	5.287075472	4.951727411	P	P	P	P	2.357982916	2.359184831	2.351369901	2.377409511	A	A	A	A	3.315165796	3.456967103	3.329009404	3.310762131	P	P	P	P	0.0230	0.0208	0.0001	0.9996	0.8821	0.3256	0.4676	1.0000	1.0000
ONECUT3	NM_001080488	2.770161005	2.854838044	2.680693209	2.622993627	A	A	A	A	2.124076398	2.125794158	2.117252409	2.142598376	A	A	A	A	2.077336134	2.085291544	2.07798851	2.084332741	A	A	A	A	0.7559	0.7055	0.2920	0.9996	0.8740	0.2922	1.0000	1.0000	1.0000
OOEP	NM_001080507	2.235786476	2.240688962	2.234613521	2.227850743	A	A	A	A	2.194931825	2.193463287	2.180978462	2.213452415	A	A	A	A	2.270511428	2.236845119	2.229293815	2.347599483	A	A	A	A	0.9291	0.9999	0.9022	0.9996	0.7848	0.3575	1.0000	1.0000	0.7578
OPA1	NM_015560	7.313621571	6.881225689	7.038491519	7.168168307	P	P	P	P	8.066006674	8.026704598	7.977196955	7.92975052	P	P	P	P	9.051388018	8.733774052	8.772283766	8.529507804	P	P	P	P	0.0005	0.0087	0.1727	0.8311	0.1451	0.0191	0.1749	0.1657	0.0087
OPA3	NM_025136	4.066887544	4.044667119	4.059526248	4.063870517	P	P	P	P	3.085258714	3.102059767	3.09195535	3.111378638	P	P	P	P	4.861197661	5.034805485	4.858008297	4.762464265	P	P	P	P	0.9284	0.9999	1.0000	0.9246	0.8885	0.2885	0.6255	1.0000	0.8124
OPALIN	NM_033207	1.860247682	1.859534917	1.865831047	1.862963353	A	A	A	A	1.611299938	1.613596501	1.608980664	1.619617668	A	A	P	P	1.503958189	1.508039288	1.502582824	1.506274122	A	A	A	A	0.9996	0.9999	1.0000	0.9996	0.9295	0.5441	1.0000	1.0000	1.0000
OPCML	NM_002545	2.398991154	2.404480928	2.401424736	2.39451262	A	A	A	A	2.371006601	2.381212959	2.365383338	2.404194267	A	A	A	A	2.363638038	2.366381152	2.360331594	2.375009638	A	A	A	A	0.9308	0.9999	1.0000	0.9996	0.8916	0.1565	1.0000	1.0000	1.0000
OPLAH	NM_017570	6.164575685	6.073975679	5.850378987	5.702989922	P	P	P	P	2.010768567	2.014034072	2.005823519	2.047715093	A	A	A	A	2.347586588	2.192961876	2.27472282	2.184257676	A	A	A	A	0.9261	0.4324	0.1518	0.9996	0.9070	0.1487	0.3784	0.8627	0.1765
OPN1LW	NM_020061	2.871553238	2.97498117	3.047620291	2.632870545	A	A	A	A	2.355165295	2.362986059	2.412162256	2.392925403	A	A	A	A	2.399243485	2.279154978	2.244367065	2.398539931	A	A	A	A	0.9357	0.9999	0.7776	0.9996	0.5928	0.5130	0.7706	0.3990	1.0000
OPN1MW	NM_000513	2.871553238	2.97498117	3.047620291	2.632870545	A	A	A	A	2.355165295	2.362986059	2.412162256	2.392925403	A	A	A	A	2.399243485	2.279154978	2.244367065	2.398539931	A	A	A	A	0.9357	0.9999	0.7776	0.9996	0.5928	0.5130	0.7706	0.3990	1.0000
OPN1MW2	NM_001048181	2.871553238	2.97498117	3.047620291	2.632870545	A	A	A	A	2.355165295	2.362986059	2.412162256	2.392925403	A	A	A	A	2.399243485	2.279154978	2.244367065	2.398539931	A	A	A	A	0.9357	0.9999	0.7776	0.9996	0.5928	0.5130	0.7706	0.3990	1.0000
OPN1SW	NM_001708	1.878461553	1.880409706	1.877017013	1.879292448	A	A	A	A	1.896220904	1.900477501	1.895215592	1.909772948	A	A	A	A	1.82477292	1.828219507	1.827555727	1.822668212	A	A	A	A	0.9742	0.9999	1.0000	0.9996	0.9692	0.3581	1.0000	1.0000	1.0000
OPN3	NM_014322	4.926068835	4.669735663	4.343605449	4.545923022	P	P	P	P	4.939087716	4.985852022	5.390802195	5.626029181	P	P	P	P	3.472437002	3.627200386	3.663241262	3.676839889	P	P	P	P	0.5362	0.0387	0.2005	0.9996	0.0186	0.0011	0.6139	0.2879	0.1920
OPN4	NM_033282	1.827616226	1.826455745	1.825596897	1.827514387	A	A	A	A	1.926003544	1.929671838	1.921905043	1.933485438	A	A	A	A	1.85796898	1.861172457	1.854676792	1.856738425	A	A	A	A	0.9925	0.9999	1.0000	0.9996	0.8895	0.5917	1.0000	1.0000	1.0000
OPN5	NM_181744	2.158920798	2.162990372	2.159380075	2.158238613	A	A	A	A	2.073176648	2.076375872	2.064537424	2.089350813	A	P	P	A	2.179864938	2.183502672	2.175528359	2.175984837	P	A	A	P	0.9382	0.9999	1.0000	0.9996	0.8613	0.3631	1.0000	1.0000	1.0000
OPRD1	NM_000911	2.221272507	2.228646222	2.224646048	2.222181616	A	A	A	A	2.181560181	2.181297529	2.174980488	2.192745278	A	A	A	A	2.017433884	2.023219081	2.016556687	2.018479556	A	A	A	A	0.9109	0.9999	1.0000	0.9996	0.8719	0.4511	1.0000	1.0000	1.0000
OPRK1	NM_000912	2.478311786	2.487695271	2.478880845	2.465132943	A	A	A	A	2.461170614	2.467824454	2.445823701	2.494433765	A	A	A	A	2.521437343	2.523775442	2.516453956	2.523436608	A	A	A	A	0.9208	0.9999	0.8521	0.9996	0.8231	0.2074	1.0000	1.0000	1.0000
OPRL1	NM_000913	2.255273849	2.289583459	2.25493607	2.255968355	A	A	A	A	2.200240309	2.203560766	2.197325922	2.215001041	A	A	A	A	2.168362704	2.169176971	2.166437784	2.166676313	A	A	A	A	0.3182	0.9999	1.0000	0.9996	0.9182	0.3480	1.0000	1.0000	1.0000
OPRM1	NM_000914	2.310073984	2.321141959	2.314764439	2.3052821	A	A	A	A	2.280832259	2.281953569	2.266399246	2.302719578	A	A	A	A	2.302154679	2.30753401	2.300343939	2.306554565	A	A	A	A	0.8862	0.9999	1.0000	0.9996	0.7835	0.3057	1.0000	1.0000	1.0000
OPRS1	NM_005866	9.155008816	8.995557526	8.453115253	8.308595266	P	P	P	P	9.802975371	9.609471541	9.517756263	9.187909644	P	P	P	P	9.93782133	9.602175952	9.555870417	9.397140997	P	P	P	P	0.3814	0.0001	0.0000	0.4108	0.0899	0.0013	0.3479	0.1615	0.0318
OPTC	NM_014359	2.385443107	2.328502417	2.382385709	2.384846755	A	A	A	A	1.997368125	2.000745161	1.992964994	2.011738627	A	A	A	A	2.447388406	2.43390643	2.428557062	2.436270289	A	A	A	A	0.5072	0.9999	1.0000	0.9996	0.8879	0.3460	1.0000	0.7937	1.0000
OPTN	NM_021980	5.272185546	5.425306722	5.514420252	5.911450512	P	P	P	P	8.577069317	8.471439791	8.784280804	9.040816416	P	P	P	P	10.33720394	10.3923944	10.48706007	10.61709459	P	P	P	P	0.4621	0.1256	0.0003	0.4290	0.0314	0.0002	1.0000	0.2805	0.0226
OR10A3	NM_001003745	1.975166207	1.976269206	1.976392191	1.973704901	A	A	A	A	2.179595997	2.179846095	2.168429667	2.193446831	A	A	A	A	2.143533145	2.144506784	2.140922224	2.140710556	A	A	A	A	0.9989	0.9999	1.0000	0.9997	0.8339	0.4355	1.0000	1.0000	1.0000
OR10A4	NM_207186	1.812267962	1.812513779	1.810883425	1.813185234	A	A	A	A	1.752677065	1.755161413	1.74837555	1.76029809	A	A	A	A	1.66153799	1.664898849	1.660044725	1.660474253	A	A	A	A	0.9996	0.9999	1.0000	0.9996	0.8872	0.5735	1.0000	1.0000	1.0000
OR10A5	NM_178168	2.081403409	2.081596084	2.080519001	2.141894254	A	A	A	A	1.802437427	1.806568759	1.797412758	1.811541488	A	A	A	A	1.844358407	1.846648466	1.845632233	1.845447264	A	A	A	A	0.9996	0.9999	0.6368	0.9996	0.8821	0.5100	1.0000	1.0000	1.0000
OR10C1	NM_013941	1.856910601	1.860393906	1.855740812	1.856305331	A	A	A	A	1.902784745	1.904852544	1.897455584	1.910855133	A	A	A	A	1.8318507	1.832168121	1.828753624	1.829329579	A	A	A	A	0.9402	0.9999	1.0000	0.9996	0.8800	0.5735	1.0000	1.0000	1.0000
OR10H1	NM_013940	3.094252705	3.223501186	3.309323935	3.078185841	P	P	P	A	2.346505605	2.347769277	2.372920954	2.375208338	A	P	A	P	2.187074724	2.202403942	2.198427698	2.206243261	A	P	A	A	0.8539	0.5022	1.0000	0.9996	0.6629	0.3577	1.0000	1.0000	1.0000
OR10H2	NM_013939	2.327618521	2.33916734	2.33294807	2.327124452	A	A	A	A	2.187066382	2.186114595	2.172463548	2.20919297	A	A	A	A	2.411488457	2.417699	2.411268024	2.42100734	A	A	A	A	0.8522	0.9999	1.0000	0.9996	0.8335	0.3576	1.0000	1.0000	1.0000
OR10H3	NM_013938	1.89890161	1.897665968	1.894347039	1.898800674	A	A	A	A	1.776038602	1.778973891	1.773278634	1.783611145	A	A	A	A	1.735169558	1.736870496	1.734367557	1.734476268	A	A	A	A	0.9996	0.9999	1.0000	0.9996	0.9163	0.5780	1.0000	1.0000	1.0000
OR10J1	NM_012351	1.861997855	1.861663396	1.860330647	1.863806582	A	A	A	A	1.83215981	1.834475092	1.828019218	1.846864575	A	A	A	A	1.688385186	1.693237896	1.688381143	1.689998148	A	A	A	A	0.9996	0.9999	1.0000	0.9996	0.8924	0.3596	1.0000	1.0000	1.0000
OR11A1	NM_013937	2.186598888	2.192743912	2.187734278	2.184434092	A	A	A	A	2.058039428	2.060680186	2.050550286	2.074631144	A	A	A	A	2.004048145	2.008182205	2.002013187	2.005104689	A	A	A	A	0.9208	0.9999	1.0000	0.9996	0.8719	0.3475	1.0000	1.0000	1.0000
OR12D2	NM_013936	2.081478592	2.084570157	2.082381753	2.081082684	A	A	A	A	2.021665586	2.026182509	2.018156643	2.035589268	A	A	A	A	2.064323719	2.067798802	2.066812208	2.063787489	A	A	P	P	0.9496	0.9999	1.0000	0.9996	0.9021	0.3697	1.0000	1.0000	1.0000
OR12D3	NM_030959	1.923359569	1.928144426	1.925811963	1.92411039	A	A	A	A	1.846819489	1.850145389	1.842194814	1.856167243	A	A	A	A	1.767272945	1.76998903	1.764391196	1.767477255	A	A	A	A	0.9232	0.9999	1.0000	0.9996	0.8871	0.5196	1.0000	1.0000	1.0000
OR14J1	NM_030946	1.635439907	1.63285691	1.631603424	1.636374886	A	A	A	A	1.523022427	1.524029567	1.519761673	1.526275215	A	A	A	A	1.403580478	1.406890785	1.404431592	1.400473326	A	A	A	A	0.9489	0.9999	1.0000	0.9996	0.8997	0.8067	1.0000	1.0000	1.0000
OR1A1	NM_014565	1.972125078	1.973542565	1.970645261	1.974569209	A	A	A	A	1.873605374	1.876250035	1.867954776	1.88199317	A	A	A	A	1.795226561	1.796892018	1.795758407	1.793249243	A	A	A	A	0.9859	0.9999	1.0000	0.9996	0.8749	0.5480	1.0000	1.0000	1.0000
OR1A2	NM_012352	2.377456784	2.381443005	2.376168984	2.369597859	A	A	A	A	2.350581464	2.354240346	2.337427091	2.395724663	A	A	A	A	2.383547587	2.377434571	2.373947096	2.373349932	A	A	A	A	0.9588	0.9999	0.9565	0.9996	0.8732	0.1991	1.0000	1.0000	1.0000
OR1C1	NM_012353	2.065974122	2.062906545	2.062833862	2.067744034	A	A	A	A	1.794245434	1.794842703	1.786754908	1.800844013	A	A	A	A	1.949654369	1.948660992	1.944888178	1.951350403	A	A	A	A	0.9471	0.9999	1.0000	0.9996	0.8631	0.6548	1.0000	1.0000	1.0000
OR1D2	NM_002548	2.310617316	2.31103948	2.308142783	2.310260607	A	A	A	A	2.002334246	2.019770422	1.993599742	2.024957024	A	P	P	A	2.273071643	2.263224953	2.248356694	2.253068283	A	P	A	A	0.9996	0.9999	1.0000	0.8655	0.8748	0.3220	1.0000	0.6264	0.6872
OR1D4	NM_003552	1.825662229	1.827420613	1.826388749	1.827960381	A	A	A	A	1.737333476	1.741140587	1.736779288	1.743443594	A	A	A	A	1.64683923	1.649444818	1.643357265	1.641849204	A	A	A	A	0.9776	0.9999	1.0000	0.9996	0.9833	0.6417	1.0000	1.0000	1.0000
OR1D5	NM_014566	1.825662229	1.827420613	1.826388749	1.827960381	A	A	A	A	1.737333476	1.741140587	1.736779288	1.743443594	A	A	A	A	1.64683923	1.649444818	1.643357265	1.641849204	A	A	A	A	0.9776	0.9999	1.0000	0.9996	0.9833	0.6417	1.0000	1.0000	1.0000
OR1F1	NM_012360	2.374116695	2.380041652	2.381090437	2.386871328	A	A	A	A	2.355076533	2.370334216	2.357657311	2.431430003	A	A	A	A	2.340181164	2.350550651	2.344592503	2.541617619	A	A	A	A	0.9218	0.9999	0.6533	0.9996	0.9752	0.1321	1.0000	1.0000	0.2196
OR1G1	NM_003555	1.895517375	1.898296312	1.896237851	1.896449695	A	A	A	A	1.816371006	1.818699798	1.811216194	1.825007412	A	A	A	A	1.75738487	1.759250419	1.755622226	1.756573256	A	A	A	A	0.9526	0.9999	1.0000	0.9996	0.8802	0.5357	1.0000	1.0000	1.0000
OR1I1	NM_001004713	1.759188082	1.759863533	1.756060091	1.760432621	A	A	A	A	1.65680179	1.659372109	1.652412746	1.663130563	A	P	A	A	1.553583454	1.558526518	1.553615626	1.552533441	A	P	A	A	0.9996	0.9999	1.0000	0.9996	0.8875	0.6464	1.0000	1.0000	1.0000
OR1J2	NM_054107	1.927617011	1.929494758	1.926283755	1.926095278	A	A	A	A	1.850218142	1.85348532	1.849723618	1.862829482	A	A	A	A	2.255334096	2.260046955	2.255918257	2.265273733	A	A	A	A	0.9759	0.9999	1.0000	0.9996	0.9866	0.3864	1.0000	1.0000	1.0000
OR1J4	NM_001004452	2.032136381	2.038198972	2.040426737	2.027258628	A	A	A	A	2.428727734	2.430668178	2.422086816	2.44237822	A	A	A	A	2.410402545	2.410827617	2.40776954	2.408139499	A	A	A	A	0.9265	0.9999	1.0000	0.9996	0.8731	0.3842	1.0000	1.0000	1.0000
OR1Q1	NM_012364	2.079581125	2.200574101	2.118292496	2.247816704	A	A	A	A	2.068084321	2.093104897	2.162906221	2.079140027	A	A	A	A	2.066300247	2.076681816	2.033955331	2.133432203	A	A	A	A	0.8435	0.9999	0.5888	0.9996	0.4531	0.8886	1.0000	1.0000	0.6444
OR2A4	NM_030908	2.221769843	2.233502149	2.220612634	2.219078781	A	A	A	A	2.182504631	2.184310858	2.17227275	2.19985672	A	A	A	A	2.139907135	2.147616983	2.139250843	2.143408893	A	A	A	A	0.6997	0.9999	1.0000	0.9996	0.8576	0.3861	1.0000	1.0000	1.0000
OR2B2	NM_033057	2.000836593	2.007179416	2.005154863	1.996620296	A	A	A	A	1.824473351	1.826952454	1.820194729	1.840059164	A	P	A	P	1.998304427	2.005004178	2.003459063	1.998987242	A	A	A	A	0.9208	0.9999	1.0000	0.9996	0.8922	0.3495	1.0000	1.0000	1.0000
OR2B3P	NM_001005226	1.854473183	1.856370245	1.854171196	1.861017194	A	A	A	A	1.770064773	1.773051906	1.765672387	1.77801114	A	A	A	A	1.680928626	1.682971061	1.679668626	1.680170205	A	A	A	A	0.9776	0.9999	0.8923	0.9996	0.8867	0.5600	1.0000	1.0000	1.0000
OR2B6	NM_012367	2.758753014	2.774994275	2.756582678	2.7539315	A	A	A	A	2.524642189	2.528405078	2.507341529	2.570470636	A	A	A	A	2.513692742	2.531657099	2.527011154	2.515703701	A	A	A	A	0.8609	0.9999	1.0000	0.9996	0.8456	0.1714	1.0000	1.0000	1.0000
OR2C1	NM_012368	1.870180033	1.870974615	1.871020209	1.872234399	A	A	A	A	1.789242557	1.790977236	1.785644874	1.796095535	A	A	A	A	1.701682906	1.704785069	1.700824578	1.700801982	A	A	A	A	0.9996	0.9999	1.0000	0.9996	0.8936	0.6102	1.0000	1.0000	1.0000
OR2C3	NM_198074	2.745214926	2.759709954	2.760607622	2.719674167	A	A	A	A	2.594447527	2.613293564	2.585506815	2.660815059	A	A	A	A	2.839328907	2.843532844	2.837663093	2.843597915	A	A	A	A	0.9208	0.9999	0.7334	0.9996	0.8917	0.0860	1.0000	1.0000	1.0000
OR2F1	NM_012369	2.518740004	2.521308197	2.51203866	2.500485808	A	A	A	A	2.519610707	2.508216126	2.481942203	2.565951499	A	A	A	A	2.920630111	2.937584168	2.92519234	2.93834406	A	A	A	A	0.9996	0.9999	1.0000	0.9996	0.7752	0.3771	1.0000	1.0000	1.0000
OR2F2	NM_001004685	2.404461102	2.406962429	2.420424233	2.399017124	A	A	A	A	2.385893272	2.390803993	2.382832958	2.425984278	A	A	A	A	2.378008793	2.378400192	2.369415694	2.371098644	A	A	A	A	0.9933	0.8924	1.0000	0.9996	0.9569	0.2327	1.0000	1.0000	1.0000
OR2H1	NM_030883	2.503782401	2.513244589	2.507433872	2.490881135	A	A	A	A	2.364093801	2.374064638	2.361563042	2.399823392	A	A	A	A	2.504075263	2.497963239	2.493938834	2.502272758	A	A	A	A	0.9100	0.9999	0.7667	0.9996	0.9507	0.1541	1.0000	1.0000	1.0000
OR2H2	NM_007160	2.668794263	2.688243248	2.666248631	2.669992055	A	A	A	A	2.893469475	2.901237265	2.845642312	2.991000641	A	A	A	A	2.898580302	2.907873936	2.858727129	2.891254952	A	A	A	A	0.8962	0.9999	1.0000	0.9996	0.5350	0.0725	1.0000	1.0000	1.0000
OR2J2	NM_030905	2.180170721	2.187276621	2.181885643	2.181666478	A	A	A	A	2.133385803	2.138074009	2.130187386	2.151924309	A	A	A	A	2.095899152	2.097305101	2.090425179	2.09522762	A	A	A	A	0.9052	0.9999	1.0000	0.9996	0.9146	0.2814	1.0000	1.0000	1.0000
OR2J3	NM_001005216	2.130755353	2.137198053	2.131848063	2.126930509	A	A	A	A	2.078794578	2.079967667	2.070270669	2.094743122	A	A	A	A	2.10583093	2.113257656	2.106650102	2.106426195	A	A	A	A	0.9208	0.9999	1.0000	0.9996	0.8621	0.3647	1.0000	1.0000	1.0000
OR2K2	NM_205859	1.852147992	1.855381643	1.850579057	1.851196361	A	A	A	A	1.766917455	1.769369023	1.763708834	1.77209299	A	A	A	A	1.890592232	1.893420978	1.887769598	1.889143018	A	A	A	A	0.9446	0.9999	1.0000	0.9996	0.9014	0.6962	1.0000	1.0000	1.0000
OR2L13	NM_175911	2.850887304	2.899894629	2.890725253	2.81212419	A	A	A	A	2.847267627	2.867580828	2.827286612	2.970818204	A	A	A	A	2.892169535	2.910387236	2.903440694	2.945753803	A	A	A	A	0.7860	0.9225	0.8512	0.9996	0.8622	0.0153	1.0000	1.0000	0.9753
OR2L2	NM_001004686	2.276147099	2.281032953	2.279759796	2.272520223	A	A	A	A	2.239459245	2.245225082	2.232275892	2.266623921	A	A	A	A	2.213885441	2.210662234	2.202727956	2.214714578	A	A	A	A	0.9339	0.9999	1.0000	0.9996	0.8845	0.2492	1.0000	1.0000	1.0000
OR2M4	NM_017504	1.920857016	1.926372171	1.926821581	1.918837657	A	A	A	A	1.843108452	1.845811755	1.8385009	1.853535228	A	A	A	A	2.040114819	2.042138185	2.039170192	2.040092704	A	A	A	A	0.9224	0.9999	1.0000	0.9996	0.8862	0.4686	1.0000	1.0000	1.0000
OR2S2	NM_019897	1.96263335	1.962655137	1.961922253	1.965276821	A	A	A	A	1.890642947	1.893816708	1.88912161	1.901029332	A	A	A	A	1.8207111	1.818420788	1.815667705	1.826703242	A	A	A	A	0.9998	0.9999	1.0000	0.9996	0.9557	0.4757	1.0000	1.0000	1.0000
